Column1,Column2,Column3,Column4,Column5,Column6
N_sample,X,Y,Z,ID,label
16,-505,193,273,24,circle
17,-72,411,416,24,circle
18,5,441,1284,24,circle
19,501,157,735,24,circle
20,365,-62,1026,24,circle
21,-421,-124,999,24,circle
22,-111,-43,858,24,circle
23,159,2,1021,24,circle
24,46,-44,956,24,circle
25,284,-15,988,24,circle
1,67,42,1032,25,circle
2,40,57,886,25,circle
3,75,28,977,25,circle
4,42,65,1048,25,circle
5,110,57,859,25,circle
6,23,44,977,25,circle
7,61,50,913,25,circle
8,119,11,931,25,circle
9,405,48,952,25,circle
10,116,-45,1056,25,circle
11,-839,-91,846,25,circle
12,-379,-112,841,25,circle
13,-568,4,1003,25,circle
14,-364,268,817,25,circle
15,-220,381,652,25,circle
16,238,499,318,25,circle
17,559,604,203,25,circle
18,885,145,1084,25,circle
19,407,83,1252,25,circle
20,29,35,939,25,circle
21,-26,-26,1085,25,circle
22,-30,-2,916,25,circle
23,142,44,968,25,circle
24,39,78,1020,25,circle
25,187,83,867,25,circle
1,81,-10,1020,26,circle
2,143,7,934,26,circle
3,108,-5,936,26,circle
4,128,-25,999,26,circle
5,112,-19,965,26,circle
6,138,-66,972,26,circle
7,176,4,950,26,circle
8,418,-55,1002,26,circle
9,24,-69,1014,26,circle
10,-498,36,1189,26,circle
11,-589,134,558,26,circle
12,141,196,181,26,circle
13,976,56,420,26,circle
14,-20,-229,1490,26,circle
15,-378,-118,982,26,circle
16,7,-80,949,26,circle
17,64,-68,931,26,circle
18,62,-68,885,26,circle
19,90,-48,966,26,circle
20,19,-80,995,26,circle
21,57,-61,943,26,circle
22,99,-58,966,26,circle
23,127,-53,976,26,circle
24,122,-49,890,26,circle
25,131,-93,1048,26,circle
1,113,-53,961,27,circle
2,138,-30,909,27,circle
3,123,-57,980,27,circle
4,335,-33,877,27,circle
5,-595,-83,775,27,circle
6,-1015,-104,993,27,circle
7,-773,102,782,27,circle
8,-645,205,665,27,circle
9,-33,420,106,27,circle
10,581,517,987,27,circle
11,443,311,766,27,circle
12,243,-48,1060,27,circle
13,433,-79,1095,27,circle
14,225,-201,1186,27,circle
15,-172,-159,833,27,circle
16,-149,-66,911,27,circle
17,232,-49,985,27,circle
18,95,-54,905,27,circle
19,190,-95,1042,27,circle
20,132,-47,969,27,circle
21,129,-71,997,27,circle
22,141,-51,909,27,circle
23,184,-60,991,27,circle
24,91,-43,981,27,circle
25,168,-65,950,27,circle
1,112,-63,1001,28,circle
2,100,-35,938,28,circle
3,136,-43,947,28,circle
4,132,-64,1005,28,circle
5,114,-24,944,28,circle
6,76,-43,990,28,circle
7,230,-37,804,28,circle
8,513,-103,958,28,circle
9,138,-159,1387,28,circle
10,-566,-159,899,28,circle
11,-552,16,778,28,circle
12,-789,31,779,28,circle
13,-797,121,757,28,circle
14,-101,427,372,28,circle
15,-94,437,404,28,circle
16,399,393,943,28,circle
17,274,199,1239,28,circle
18,100,-103,1197,28,circle
19,20,-172,1106,28,circle
20,-169,-45,949,28,circle
21,-115,49,883,28,circle
22,60,64,1025,28,circle
23,34,67,869,28,circle
24,70,18,1083,28,circle
25,34,44,903,28,circle
1,48,16,1029,29,circle
2,17,51,950,29,circle
3,95,52,916,29,circle
4,41,12,1021,29,circle
5,52,41,923,29,circle
6,204,-50,1382,29,circle
7,-155,-242,1127,29,circle
8,-1421,-40,1139,29,circle
9,-35,105,494,29,circle
10,277,458,588,29,circle
11,281,262,955,29,circle
12,343,207,919,29,circle
13,265,81,831,29,circle
14,200,0,885,29,circle
15,214,-70,1103,29,circle
16,80,-102,1022,29,circle
17,61,-55,938,29,circle
18,0,-63,1075,29,circle
19,216,-3,880,29,circle
20,152,-24,995,29,circle
21,76,22,945,29,circle
22,171,-1,920,29,circle
23,142,16,920,29,circle
24,172,10,946,29,circle
25,125,-20,992,29,circle
1,108,23,926,30,circle
2,168,21,946,30,circle
3,100,9,919,30,circle
4,192,3,946,30,circle
5,147,5,996,30,circle
6,314,14,843,30,circle
7,-420,-136,1181,30,circle
8,-384,-67,868,30,circle
9,-568,-105,1231,30,circle
10,-961,-20,967,30,circle
11,-673,278,259,30,circle
12,110,394,83,30,circle
13,67,682,337,30,circle
14,395,587,654,30,circle
15,458,638,1088,30,circle
16,-92,230,1090,30,circle
17,195,364,787,30,circle
18,142,134,813,30,circle
19,-116,34,1251,30,circle
20,-28,61,773,30,circle
21,59,49,1036,30,circle
22,24,105,925,30,circle
23,1,70,1044,30,circle
24,63,73,923,30,circle
25,-78,67,963,30,circle
1,20,375,912,0,tick
2,-19,361,798,0,tick
3,98,284,68,0,tick
4,408,-111,1402,0,tick
5,-45,-115,1352,0,tick
6,57,-151,1950,0,tick
7,120,-151,952,0,tick
8,-122,-210,297,0,tick
9,-951,146,413,0,tick
10,-353,306,741,0,tick
11,-345,320,779,0,tick
12,-379,298,826,0,tick
13,-432,287,813,0,tick
14,-396,286,825,0,tick
15,-417,293,821,0,tick
16,-415,289,866,0,tick
17,-366,309,793,0,tick
18,-361,284,813,0,tick
19,-399,308,874,0,tick
20,-380,289,789,0,tick
21,-406,291,842,0,tick
22,-382,291,845,0,tick
23,-379,309,809,0,tick
24,-417,288,843,0,tick
25,-405,284,798,0,tick
1,-39,473,857,1,tick
2,-52,493,851,1,tick
3,-63,470,839,1,tick
4,-58,496,825,1,tick
5,-64,393,381,1,tick
6,441,62,483,1,tick
7,11,-315,750,1,tick
8,-180,-390,1941,1,tick
9,848,-73,1229,1,tick
10,-499,-380,1540,1,tick
11,-458,-179,356,1,tick
12,-623,152,158,1,tick
13,-395,281,954,1,tick
14,-447,246,908,1,tick
15,-427,249,687,1,tick
16,-463,255,873,1,tick
17,-416,238,752,1,tick
18,-444,263,868,1,tick
19,-413,238,787,1,tick
20,-429,265,823,1,tick
21,-441,242,835,1,tick
22,-409,256,860,1,tick
23,-462,244,831,1,tick
24,-446,259,835,1,tick
25,-378,269,811,1,tick
1,16,356,925,2,tick
2,16,356,925,2,tick
